\fixlen = T
|set|TIME       |ndiv_PDCSAP_FLUX|
|int|double     |double          |
 0   144.4061601 1.0004771773     
 0   144.4265947 1.00107957233    
 0   144.4470291 1.00043243432    
 0   144.4674638 1.0010446408     
 0   144.4878984 1.0001945937     
 0   144.5083328 1.00010441189    
 0   144.5287674 1.00108221655    
 0   144.5492021 1.00015339954    
 0   144.5696366 1.00036618966    
 0   144.5900711 1.00078307179    
 0   144.6105057 0.99985766443    
 0   144.6309403 1.00006551403    
 0   144.6513748 1.00038483836    
 0   144.6718093 1.00003594051    
 0   144.6922440 1.00000024355    
 0   144.7126784 1.00076087426    
 0   144.7331130 1.00092050163    
 0   144.7535477 1.0006453636     
 0   144.7739821 1.00148010205    
 0   144.7944167 1.00070861612    
 0   144.8148513 1.00072448144    
 0   144.8352859 0.999740622909   
 0   144.8557204 1.00041942198    
 0   144.8761549 0.999920986536   
 0   144.8965895 1.00042074409    
 0   144.9170241 1.00013934343    
 0   144.9374586 1.00050939503    
 0   144.9578932 1.0003586745     
 0   144.9783278 1.00026626598    
 0   144.9987623 0.999806310897   
 0   145.0191969 1.00076845899    
 0   145.0396314 1.00078237594    
 0   145.0600660 1.00064807741    
 0   145.0805005 1.00036646799    
 0   145.1009351 1.00025220986    
 0   145.1213698 0.999842703712   
 0   145.1418042 0.999899484854   
 0   145.1622388 1.00078863857    
 0   145.1826732 1.00030794723    
 0   145.2031079 0.999676396201   
 0   145.2235424 1.00021407743    
 0   145.2439769 1.00049227719    
 0   145.2644116 1.00010030639    
 0   145.2848461 1.00017935465    
 0   145.3052807 1.00067124912    
 0   145.3257151 1.00041399437    
 0   145.3461498 1.00055156338    
 0   145.3665844 0.999853002252   
 0   145.3870188 1.00056638493    
 0   145.4074535 1.00034517507    
 0   145.4278880 0.999592755353   
 0   145.4483225 0.999532077466   
 0   145.4687570 0.999953900115   
 0   145.4891917 1.00025847249    
 0   145.5096262 1.00023321323    
 0   145.5300607 1.00090748929    
 0   145.5504953 1.00000351403    
 0   145.5709299 0.999678762082   
 0   145.5913644 0.998809509603   
 0   145.6117989 0.992258176615   
 0   145.6322336 0.990387321495   
 0   145.6526681 0.994232017139   
 0   145.6731026 1.00003941975    
 0   145.6935371 0.999671664439   
 0   145.7139717 0.999742501697   
 0   145.7344063 1.00025144443    
 0   145.7548408 0.999329516309   
 0   145.7752754 1.00061739054    
 0   145.7957100 0.999367579158   
 0   145.8161445 0.999284147064   
 0   145.8365790 0.999913193046   
 0   145.8570136 0.999543837286   
 0   145.8774482 0.999707361407   
 0   145.8978826 1.0000792918     
 0   145.9183173 1.00028908977    
 0   145.9387518 0.999291662215   
 0   145.9591863 0.999783626274   
 0   145.9796209 0.999585031447   
 0   146.0000555 0.999103992191   
 0   146.0204901 1.00028150504    
 0   146.0409245 1.00030453758    
 0   146.0613592 0.999598252546   
 0   146.0817937 1.00002863412    
 0   146.1022282 0.999431736281   
 0   146.1226627 0.999742432112   
 0   146.1430974 0.999225765473   
 0   146.1635318 0.999395482636   
 0   146.1839664 0.99951154997    
 0   146.2044010 0.999377390605   
 0   146.2248355 0.999915628512   
 0   146.2452701 0.999262088703   
 0   146.2657046 0.999620241322   
 0   146.2861392 1.00027322445    
 0   146.3065737 0.999118883324   
 0   146.3474427 0.998827532048   
 0   146.3678774 0.999234324395   
 0   146.3883119 0.999396456822   
 0   146.4087464 0.999126676814   
 0   146.4291810 0.998869213303   
 0   146.4496156 0.998826279523   
 0   146.4700500 0.999350391729   
 0   146.4904847 0.999606115621   
 0   146.5109193 0.999663801365   
 0   146.5313538 0.999418932691   
 0   146.5517883 0.999215049424   
 0   146.5722229 0.998848268299   
 0   146.5926575 0.99826500907    
 0   146.6130920 0.999058275022   
 0   146.6335265 0.9990000326     
 0   146.6539611 0.998522263827   
 0   146.6743957 0.999354358059   
 0   146.6948301 0.999063006783   
 0   146.7152648 0.998610358098   
 0   146.7356993 0.99886608199    
 0   146.7561339 0.998468613998   
 0   146.7765683 0.998329862041   
 0   146.7970030 0.998179976527   
 0   146.8174375 0.997929958583   
 0   146.8378720 0.998719814882   
 0   146.8583065 0.998418165067   
 0   146.8787412 0.998251161708   
 0   146.8991756 0.998620865393   
 0   146.9196102 0.99791506745    
 0   146.9400448 0.997609103381   
 0   146.9604793 0.997649810449   
 0   146.9809138 0.998668113426   
 0   147.0013484 0.99770158149    
 0   147.0217829 0.997221586005   
 0   147.0422175 0.997550443451   
 0   147.0626520 0.99754042325    
 0   147.0830867 0.998516488294   
 0   147.1035211 0.997118322262   
 0   147.1239557 0.997554757705   
 0   147.1443901 0.998103433321   
 0   147.1648248 0.997791832889   
 0   147.1852593 0.998142609526   
 0   147.2056938 0.99716960621    
 0   147.2261284 0.996673049558   
 0   147.2465630 0.99774082728    
 0   147.2669975 0.997611678016   
 0   147.2874320 0.997813056232   
 0   147.3078666 0.996684461454   
 0   147.3283012 0.996780349216   
 0   147.3487356 0.996954589386   
 0   147.3691702 0.997179000149   
 0   147.3896048 0.997270016979   
 0   147.4100393 0.99762482953    
 0   147.4304738 0.997933785743   
 0   147.4509085 0.996844784678   
 0   147.4713429 0.997223116869   
 0   147.4917775 0.997065368281   
 0   147.5122120 0.99651912813    
 0   147.5326466 0.996976717331   
 0   147.5530811 0.996980962      
 0   147.5735156 0.996765458083   
 0   147.5939503 0.996703875595   
 0   147.6143847 0.996722941811   
 0   147.6348193 0.996008863286   
 0   147.6552537 0.996897529906   
 0   147.6756884 0.996658575934   
 0   147.6961229 0.997862948485   
 0   147.7165574 0.996831772333   
 0   147.7369920 0.99707065672    
 0   147.7574266 0.997330834035   
 0   147.7778611 0.996556982224   
 0   147.7982956 0.996314827355   
 0   147.8187302 0.99733869711    
 0   147.8391647 0.99654647493    
 0   147.8595992 0.996698935079   
 0   147.8800337 0.996930373899   
 0   147.9209028 0.99646561747    
 0   147.9413374 0.997051729673   
 0   147.9617720 0.997164178601   
 0   147.9822065 0.996523581553   
 0   148.0026410 0.996683765607   
 0   148.0230756 0.998363888975   
 0   148.0435102 0.995999538932   
 0   148.0639446 0.997607433347   
 0   148.0843792 0.996600403097   
 0   148.1048138 0.996806721829   
 0   148.1252483 0.997470212255   
 0   148.1456828 0.996535410957   
 0   148.1661174 0.997449684759   
 0   148.1865519 0.997234320011   
 0   148.2069865 0.997135231352   
 0   148.2274210 0.9967480619     
 0   148.2478556 0.997186584885   
 0   148.2682901 0.997137597233   
 0   148.2887246 0.997065785789   
 0   148.3091592 0.997853763301   
 0   148.3295937 0.997435350304   
 0   148.3500283 0.997362843012   
 0   148.3704628 0.99658412027    
 0   148.3908972 0.997287273993   
 0   148.4113319 0.997247958619   
 0   148.4317664 0.997687734129   
 0   148.4522010 0.996886257179   
 0   148.4726355 0.996897181982   
 0   148.4930701 0.997226526521   
 0   148.5135046 0.997179208903   
 0   148.5339390 0.997171902506   
 0   148.5543737 0.997225761089   
 0   148.5748082 0.99770422571    
 0   148.5952427 0.99764702706    
 0   148.6156773 0.99740501136    
 0   148.6361118 0.994283440257   
 0   148.6565463 0.988105777283   
 0   148.6769808 0.987855550584   
 0   148.6974155 0.993347873527   
 0   148.7178499 0.997667624141   
 0   148.7382844 0.997436950752   
 0   148.7587191 0.997583496199   
 0   148.7791536 0.997929610659   
 0   148.7995881 0.997249419898   
 0   148.8200226 0.997886120201   
 0   148.8404573 0.997560254899   
 0   148.8608917 0.99757291932    
 0   148.8813262 0.997437368261   
 0   148.9017609 0.997124515303   
 0   148.9221953 0.999191181861   
 0   148.9426299 0.997716055115   
 0   148.9630644 0.9986891976     
 0   148.9834989 0.998139060704   
 0   149.0039335 0.998480095479   
 0   149.0243680 0.997355327861   
 0   149.0448024 0.998423592676   
 0   149.0652371 0.997972196515   
 0   149.0856716 0.997776733002   
 0   149.1061061 0.997684533231   
 0   149.1265407 0.998205374954   
 0   149.1469752 0.997736513026   
 0   149.1674097 0.998135859807   
 0   149.1878442 0.997583009106   
 0   149.2082789 0.998419904685   
 0   149.2287134 0.998547592669   
 0   149.2491478 0.998850077502   
 0   149.2695825 0.998812919255   
